film_uri,rank,neighbour_key,neighbour_title,neighbour_year,neighbour_rating,neighbour_tmdb_id,neighbour_poster,share,neighbour_sensitive
https://boxd.it/bDG2,3,Nobody 2 (2025),Nobody 2,2025,2.0,1007734.0,/svXVRoRSu6zzFtCzkRsjZS7Lqpd.jpg,0.022568887,False
https://boxd.it/bDG2,4,The Drama (2026),The Drama,2026,3.5,1325734.0,/rnIOUhzwJDfgQakx8EjoNyItKgs.jpg,0.022208305,False
https://boxd.it/bDG2,5,Mickey 17 (2025),Mickey 17,2025,3.5,696506.0,/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg,0.022003284,False
https://boxd.it/1Iik,1,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,1975,1.5,36685.0,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,0.037160218,False
https://boxd.it/1Iik,2,The Mandalorian and Grogu (2026),The Mandalorian and Grogu,2026,2.5,1228710.0,/uwMKWjcNID0D9jjplsjkQS2OrB4.jpg,0.034425873,False
https://boxd.it/1Iik,3,Mortal Kombat II (2026),Mortal Kombat II,2026,2.0,931285.0,/hwRdDFIhaEmpRgoki805YvyyjZf.jpg,0.031048888,False
https://boxd.it/1Iik,4,Obsession (2025),Obsession,2025,4.0,1339713.0,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,0.030812237,False
https://boxd.it/1Iik,5,Rise of the Planet of the Apes (2011),Rise of the Planet of the Apes,2011,4.5,61791.0,/oqA45qMyyo1TtrnVEBKxqmTPhbN.jpg,0.030701678,False
https://boxd.it/skWY,1,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,1975,1.5,36685.0,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,0.037022293,False
https://boxd.it/skWY,2,The Mandalorian and Grogu (2026),The Mandalorian and Grogu,2026,2.5,1228710.0,/uwMKWjcNID0D9jjplsjkQS2OrB4.jpg,0.035053287,False
https://boxd.it/skWY,3,Mayday (2026),Mayday,2026,2.0,1137844.0,/hVXjX1jLZ1ljFSNGXpjJfbTUOa7.jpg,0.030475792,False
https://boxd.it/skWY,4,The Drama (2026),The Drama,2026,3.5,1325734.0,/rnIOUhzwJDfgQakx8EjoNyItKgs.jpg,0.029956277,False
https://boxd.it/skWY,5,Eternity (2025),Eternity,2025,4.0,1259102.0,/yiwGcjfDKXD5PqQnyKUU9kspWQQ.jpg,0.029506592,False
https://boxd.it/u7UO,1,Interceptor (2022),Interceptor,2022,2.5,831946.0,/jBKNAfANo4e3rzJtb7aHfYNd7b3.jpg,0.04775418,False
https://boxd.it/u7UO,2,Brothers (2024),Brothers,2024,1.0,616446.0,/Akweo95FGyDpucYVT81h0SbX8Ky.jpg,0.040350284,False
https://boxd.it/u7UO,3,Rebel Moon – Part Two: The Scargiver (2024),Rebel Moon – Part Two: The Scargiver,2024,1.0,934632.0,/95gnJZIk2rEkMO0Ch46x5CVjnms.jpg,0.04019532,False
https://boxd.it/u7UO,4,Morbius (2022),Morbius,2022,1.0,526896.0,/Av8Z2jZhEm1FLkFzMThzz9hndJF.jpg,0.035834894,False
https://boxd.it/u7UO,5,Flight Risk (2025),Flight Risk,2025,1.0,1126166.0,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,0.034581907,False
https://boxd.it/6xza,1,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,1975,1.5,36685.0,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,0.035470612,False
https://boxd.it/6xza,2,Nobody 2 (2025),Nobody 2,2025,2.0,1007734.0,/svXVRoRSu6zzFtCzkRsjZS7Lqpd.jpg,0.029786767,False
https://boxd.it/6xza,3,The Last Sunrise (2026),The Last Sunrise,2026,2.5,1516698.0,/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg,0.022462774,False
https://boxd.it/6xza,4,The Mandalorian and Grogu (2026),The Mandalorian and Grogu,2026,2.5,1228710.0,/uwMKWjcNID0D9jjplsjkQS2OrB4.jpg,0.021506358,False
https://boxd.it/6xza,5,The Guardians of the Galaxy Holiday Special (2022),The Guardians of the Galaxy Holiday Special,2022,4.0,774752.0,/8dqXyslZ2hv49Oiob9UjlGSHSTR.jpg,0.018757766,False
https://boxd.it/stYk,1,The Last Sunrise (2026),The Last Sunrise,2026,2.5,1516698.0,/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg,0.045756705,False
